FlightNumber;Date;BoosterVersion;PayloadMass;Payload;Orbit;LaunchSite;LandingOutcome;Flights;GridFins;Reused;Legs;LandingPad;Block;Customers;Mission_Outcome;ReusedCount;Serial;Longitude;Latitude
131;02/02/2022;Falcon 9;8.191.079.109.589.040;NROL-87;LEO;VAFB SLC 4E;True RTLS;1;True;False;True;5e9e3032383ecb554034e7c9;5.0;National Reconnaissance Office,USAF;True;3;B1071;-120.610.829;34.632.093
132;03/02/2022;Falcon 9;13260.0;Starlink 4-7 (v1.5);VLEO;KSC LC 39A;True ASDS;6;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;9;B1061;-806.039.558;286.080.585
133;21/02/2022;Falcon 9;13260.0;Starlink 4-8 (v1.5);VLEO;CCSFS SLC 40;True ASDS;11;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;13;B1058;-80.577.366;285.618.571
134;25/02/2022;Falcon 9;13260.0;Starlink 4-11 (v1.5);VLEO;VAFB SLC 4E;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;6;B1063;-120.610.829;34.632.093
135;03/03/2022;Falcon 9;13260.0;Starlink 4-9 (v1.5);VLEO;KSC LC 39A;True ASDS;11;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1060;-806.039.558;286.080.585
136;09/03/2022;Falcon 9;13260.0;Starlink 4-10 (v1.5);VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;6;B1052;-80.577.366;285.618.571
137;19/03/2022;Falcon 9;13260.0;Starlink 4-12 (v1.5);VLEO;CCSFS SLC 40;True ASDS;12;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1051;-80.577.366;285.618.571
138;01/04/2022;Falcon 9;8.191.079.109.589.040;Transporter-4;SSO;CCSFS SLC 40;True ASDS;7;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;;True;9;B1061;-80.577.366;285.618.571
139;08/04/2022;Falcon 9;8.191.079.109.589.040;Ax-1;ISS;KSC LC 39A;True ASDS;5;True;True;True;5e9e3033383ecb075134e7cd;5.0;Axiom Space;True;8;B1062;-806.039.558;286.080.585
140;17/04/2022;Falcon 9;8.191.079.109.589.040;NROL-85;LEO;VAFB SLC 4E;True RTLS;2;True;True;True;5e9e3032383ecb554034e7c9;5.0;USAF,National Reconnaissance Office;True;3;B1071;-120.610.829;34.632.093
141;21/04/2022;Falcon 9;13260.0;Starlink 4-14 (v1.5);VLEO;CCSFS SLC 40;True ASDS;12;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1060;-80.577.366;285.618.571
142;27/04/2022;Falcon 9;8.191.079.109.589.040;Crew-4;ISS;KSC LC 39A;True ASDS;4;True;True;True;5e9e3033383ecb075134e7cd;5.0;NASA (CCtCap);True;5;B1067;-806.039.558;286.080.585
143;29/04/2022;Falcon 9;13260.0;Starlink 4-16 (v1.5);VLEO;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;8;B1062;-80.577.366;285.618.571
144;06/05/2022;Falcon 9;13260.0;Starlink 4-17 (v1.5);VLEO;KSC LC 39A;True ASDS;12;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;13;B1058;-806.039.558;286.080.585
145;13/05/2022;Falcon 9;13260.0;Starlink 4-13 (v1.5);VLEO;VAFB SLC 4E;True ASDS;5;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;6;B1063;-120.610.829;34.632.093
146;14/05/2022;Falcon 9;13260.0;Starlink 4-15 (v1.5);VLEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;2;B1073;-80.577.366;285.618.571
147;18/05/2022;Falcon 9;13260.0;Starlink 4-18 (v1.5);VLEO;KSC LC 39A;True ASDS;5;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;6;B1052;-806.039.558;286.080.585
148;25/05/2022;Falcon 9;8.191.079.109.589.040;Transporter-5;SSO;CCSFS SLC 40;True RTLS;8;True;True;True;5e9e3032383ecb267a34e7c7;5.0;;True;9;B1061;-80.577.366;285.618.571
149;08/06/2022;Falcon 9;3938.0;Nilesat-301;GEO;CCSFS SLC 40;True ASDS;7;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Nilesat;True;8;B1062;-80.577.366;285.618.571
150;01/06/2022;Falcon 9;13260.0;Starlink 4-19 (v1.5);VLEO;KSC LC 39A;True ASDS;13;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;12;B1060;-806.039.558;286.080.585
151;18/06/2022;Falcon 9;2200.0;SARah 1;SSO;VAFB SLC 4E;True RTLS;3;True;True;True;5e9e3032383ecb554034e7c9;5.0;OHB-System,AG,Bundeswehr;True;3;B1071;-120.610.829;34.632.093
152;19/06/2022;Falcon 9;700.0;Globalstar FM15;LEO;CCSFS SLC 40;True ASDS;9;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Globalstar;True;9;B1061;-80.577.366;285.618.571
153;29/06/2022;Falcon 9;3500.0;SES-22;MEO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3033383ecb075134e7cd;5.0;SES;True;2;B1073;-80.577.366;285.618.571
154;07/07/2022;Falcon 9;13260.0;Starlink 4-21 (v1.5);VLEO;CCSFS SLC 40;True ASDS;13;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;13;B1058;-80.577.366;285.618.571
155;11/07/2022;Falcon 9;13260.0;Starlink 3-1 (v1.5);VLEO;VAFB SLC 4E;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;;6;B1063;-120.610.829;34.632.093
156;15/07/2022;Falcon 9;8.191.079.109.589.040;CRS-25;ISS;KSC LC 39A;True ASDS;5;True;True;True;5e9e3033383ecb075134e7cd;5.0;NASA (CRS);True;5;B1067;-806.039.558;286.080.585
157;17/07/2022;Falcon 9;13260.0;Starlink 4-22 (v1.5);VLEO;CCSFS SLC 40;True ASDS;13;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1051;-80.577.366;285.618.571
158;21/07/2022;Falcon 9;13260.0;Starlink 3-2 (v1.5);VLEO;VAFB SLC 4E;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;3;B1071;-120.610.829;34.632.093
159;24/07/2022;Falcon 9;13260.0;Starlink 4-25 (v1.5);VLEO;CCSFS SLC 40;True ASDS;8;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;8;B1062;-80.577.366;285.618.571
160;04/08/2022;Falcon 9;678.0;KPLO;TLI;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;KARI;True;6;B1052;-80.577.366;285.618.571
161;09/08/2022;Falcon 9;13260.0;Starlink 4-26 (v1.5);VLEO;KSC LC 39A;True ASDS;3;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;2;B1073;-806.039.558;286.080.585
162;12/08/2022;Falcon 9;13260.0;Starlink 3-3 (v1.5);VLEO;VAFB SLC 4E;True ASDS;10;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1061;-120.610.829;34.632.093
163;19/08/2022;Falcon 9;13260.0;Starlink 4-27 (v1.5);VLEO;CCSFS SLC 40;True ASDS;9;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;8;B1062;-80.577.366;285.618.571
164;28/08/2022;Falcon 9;13260.0;Starlink 4-23 (v1.5);VLEO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;1;B1069;-806.039.558;286.080.585
165;31/08/2022;Falcon 9;13260.0;Starlink 3-4 (v1.5);VLEO;VAFB SLC 4E;True ASDS;7;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;6;B1063;-120.610.829;34.632.093
166;17/09/2022;Falcon 9;13260.0;Starlink 4-34 (v1.5);VLEO;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;5;B1067;-80.577.366;285.618.571
167;24/09/2022;Falcon 9;13260.0;Starlink 4-35 (v1.5);VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;0;B1072;-80.577.366;285.618.571
168;05/10/2022;Falcon 9;8.191.079.109.589.040;Crew-5;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;NASA (CCtCap);True;0;B1077;-806.039.558;286.080.585
